Column Name,Null Count,Null Proportion,XNA Count,XNA Proportion
invt_item_key,0,0.0,0,0.0
bus_date_key,0,0.0,0,0.0
bus_time_key,0,0.0,0,0.0
stk_entr_date_key,0,0.0,0,0.0
stk_entr_rng_key,0,0.0,55717,1.0
org_unit_key,0,0.0,1189,0.02
invt_item_stat_key,0,0.0,0,0.0
product_key,0,0.0,0,0.0
suppl_key,0,0.0,0,0.0
suppl_whlsl_key,0,0.0,55717,1.0
suppl_pmt_rgm_key,0,0.0,55717,1.0
best_bf_date_key,0,0.0,0,0.0
best_bf_date_rng_key,0,0.0,55717,1.0
repln_prior_cls_key,0,0.0,55717,1.0
prod_mkt_bookmark_key,0,0.0,55717,1.0
prod_mkt_project_key,0,0.0,55717,1.0
val_add_tax_key,0,0.0,55717,1.0
del_flag,0,0.0,0,0.0
ins_dt,0,0.0,0,0.0
ins_proc_id,0,0.0,0,0.0
upd_dt,0,0.0,0,0.0
upd_proc_id,0,0.0,0,0.0
cntry_id,0,0.0,0,0.0
data_own_id,0,0.0,0,0.0
full_pkg_num,55717,1.0,0,0.0
is_expr_returnable_to_suppl,0,0.0,0,0.0
is_rtrn_to_suppl_flag,0,0.0,0,0.0
pcs_in_incompl_pkg_num,55717,1.0,0,0.0
pcs_per_pkg_num,0,0.0,0,0.0
prod_batch,217,0.0,0,0.0
recomd_unit_ret_prc,0,0.0,0,0.0
snap_date,0,0.0,0,0.0
src_id,0,0.0,0,0.0
src_sys_id,0,0.0,0,0.0
unit_acqsn_prc,0,0.0,0,0.0
unit_acqsn_prc_dsc,0,0.0,0,0.0
